Classes,16f FlowNet_MyKey25R,16f MyKey25R
BaseballPitch,0.47,0.54
Basketball,0.48,0.35
BenchPress,0.84,0.99
Biking,0.82,0.87
Billiards,0.98,0.98
BreastStroke,0.94,0.93
CleanAndJerk,0.86,0.77
Diving,0.83,0.91
Drumming,0.87,0.87
Fencing,0.84,0.79
GolfSwing,0.7,0.65
HighJump,0.55,0.49
HorseRace,0.74,0.7
HorseRiding,0.87,0.89
HulaHoop,0.56,0.65
JavelinThrow,0.74,0.71
JugglingBalls,0.72,0.82
JumpingJack,0.8,0.82
JumpRope,0.94,0.93
Kayaking,0.82,0.85
Lunges,0.87,0.91
MilitaryParade,0.74,0.8
Mixing,0.93,0.83
Nunchucks,0.8,0.68
PizzaTossing,0.33,0.33
PlayingGuitar,0.96,0.95
PlayingPiano,0.72,0.85
PlayingTabla,0.9,0.9
PlayingViolin,0.89,0.84
PoleVault,0.69,0.61
PommelHorse,0.67,0.73
PullUps,0.84,0.74
Punch,0.98,0.93
PushUps,0.77,0.73
RockClimbingIndoor,0.78,0.82
RopeClimbing,0.75,0.72
Rowing,0.77,0.84
SalsaSpin,0.93,0.75
SkateBoarding,0.77,0.83
Skiing,0.67,0.67
Skijet,0.82,0.74
SoccerJuggling,0.7,0.56
Swing,0.82,0.73
TaiChi,0.46,0.33
TennisSwing,0.76,0.63
ThrowDiscus,0.43,0.35
TrampolineJumping,0.84,0.83
VolleyballSpiking,0.5,0.63
WalkingWithDog,0.66,0.59
YoYo,0.61,0.5
